"type","name","id","dataverse","securityGroup","apps","flows","customSolutions","powerPages","copilotBots","dormant"
"Production","P001-CAPEX_Registro","cc875e30-9c84-edc0-afa9-e2b2eda994ec","Y","VACIO","2","1","blocked","blocked","blocked","no"
"Production","Nivel de Servicio","2d9288dc-3a1e-e102-85f2-c5bd7349bdeb","Y","VACIO","0","11","blocked","blocked","blocked","no"
"Production","PE_RRHH_BIENESTAR_PRD_US","f43c5702-023b-e047-a78d-fecc5b7d111b","Y","SET","0","3","2","0","0","no"
"Production","Acuoso","9f5bd241-2bc7-eeaf-8665-d7d537aa64eb","N","-","0","0","-","-","-","YES"
"Production","Katty Cruzatt","9b720791-a20d-ec6f-80be-6a7f046129ee","N","-","0","0","-","-","-","YES"
"Production","Microsoft 365 Copilot Chat","c1b49030-7e53-e560-b2c3-02202c669ee1","N","-","0","0","-","-","-","YES"
"Sandbox","TI-Test","ade38b33-35c7-e69a-b1db-39010e923aeb","Y","VACIO","3","0","blocked","blocked","blocked","no"
"Sandbox","P01-ProyectoCapex","da0df35e-d8b5-e72b-97e4-50d077d432ed","N","-","2","2","-","-","-","no"
"Sandbox","P01-ProyectoCapex","294601da-330a-ee36-ae7c-43b5e47232e4","Y","VACIO","2","1","blocked","blocked","blocked","no"
"Sandbox","Entorno de Prueba","4da9d7a1-3d71-e448-8ebc-7032db7270e8","N","-","2","0","-","-","-","no"
"Sandbox","P002-Registro_Vehículos","0389357c-d9c5-e057-a2c2-07d620a468e0","N","-","1","0","-","-","-","no"
"Sandbox","TI-Producción","dd56e3d9-09ce-e26e-b55a-a7b3cba4bfe7","Y","VACIO","3","2","blocked","blocked","blocked","no"
"Sandbox","P02-Revisión Salarial","f7143cf3-f739-eb9f-852e-512782106de2","Y","VACIO","0","1","blocked","blocked","blocked","no"
"Sandbox","DEV-SQLOnpremiseConexion","602e73cf-54b3-e06c-9e6b-889dbe3c2107","Y","VACIO","0","0","blocked","blocked","blocked","YES"
"Sandbox","Microsoft 365","dc7d5ee7-6696-ed90-acdc-ffe9c6047de8","Y","VACIO","0","0","2","blocked","blocked","YES"
"Teams","Costos 2025","1d2ca16b-d829-e554-b9c4-085d3882ece7","Y","SET","0","0","blocked","n/a","blocked","YES"
"Teams","Desarrollo TI - QROMA","6aa69df4-e18e-e301-b6e5-9327a45b75ee","Y","SET","0","0","blocked","n/a","blocked","YES"
"Teams","Equipo Riesgos & Control Interno","458a4f47-9db0-e031-9c94-baacda67e1e2","Y","SET","0","0","blocked","n/a","blocked","YES"
"Teams","IT Funcional","73add4e1-2f52-ecf0-85bb-7d782c3d51e2","Y","SET","0","0","blocked","n/a","blocked","YES"
"Teams","QROMA - Aplicativos 365","9424f111-eb80-ef1a-9d25-f6ceb079bce3","Y","SET","0","0","blocked","n/a","blocked","YES"
"Developer","Entorno de Josue Andre Chavez Castro","f94740c7-36de-eeda-8ff0-eeb41e23c4e1","Y","VACIO","0","0","blocked","blocked","blocked","YES"
"Developer","Entorno de Miguel Adrian Bravo Salas","59e234e8-b85f-e971-9e6c-a1f5247673ed","Y","VACIO","0","0","blocked","blocked","blocked","YES"
"Developer","Entorno de Paul Darwin De La Cruz Cancho","d531c903-151f-ef24-a110-b605230f90ed","Y","VACIO","0","0","blocked","blocked","blocked","YES"
"Developer","Javier David Munoz Tintaya's Environment","8c4b1026-6693-ed44-9d0a-a7742ccff5e6","Y","VACIO","0","0","blocked","blocked","blocked","YES"
"Developer","PowerPagesDeveloper-061526-125100","21de83dc-cb36-ea3c-b6f5-0b6216e5971e","Y","VACIO","0","0","blocked","blocked","blocked","YES"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Default-faed75e0-b942-4b73-85ac-7a32b852ceb8","Y","VACIO","43","164","22","blocked","0","no"
