"environment","type","flow","state","sharingType","created","lastModified"
"P01-ProyectoCapex","Sandbox","F1. Envio de correo","Started","Coauthor","2025-06-04","2025-10-24"
"Nivel de Servicio","Production","Correos Estatus de Deuda","Started","Coauthor","2026-02-17","2026-05-29"
"Nivel de Servicio","Production","Correo de Rutina de Compensaciones","Started","Coauthor","2026-04-08","2026-06-05"
"Nivel de Servicio","Production","Correo - Cobranzas","Stopped","Coauthor","2026-03-20","2026-07-21"
"Nivel de Servicio","Production","CRONO MODERNO TMH","Stopped","Coauthor","2026-05-14","2026-05-26"
"Nivel de Servicio","Production","Copia de: Correos Morosidad Tradicional","Stopped","","2026-04-08","2026-04-08"
"Nivel de Servicio","Production","Reporte de Morosidad","Stopped","Coauthor","2026-02-12","2026-02-13"
"Nivel de Servicio","Production","Copy of - Correos Morosidad Construcción","Stopped","","2026-05-16","2026-05-16"
"Nivel de Servicio","Production","Pruebas","Stopped","","2026-02-13","2026-02-25"
"Nivel de Servicio","Production","Correos V2","Stopped","","2026-02-19","2026-02-19"
"Nivel de Servicio","Production","Morosidad - Tradicional","Started","Coauthor","2026-04-13","2026-06-16"
"Nivel de Servicio","Production","Copia de: Correos Morosidad B2B","Stopped","","2026-04-08","2026-04-08"
"P001-CAPEX_Registro","Production","F1. Envio de correo","Started","Coauthor","2025-06-04","2025-10-23"
"P01-ProyectoCapex","Sandbox","Programar una respuesta","Started","Coauthor","2025-10-24","2025-10-24"
"P01-ProyectoCapex","Sandbox","F1. Envio de correo","Started","Coauthor","2025-06-04","2025-10-24"
"TI-Producción","Sandbox","Generar_Correlativo_Planilla","Started","","2026-04-15","2026-04-17"
"TI-Producción","Sandbox","Descargar_Planilla_Movilidad","Started","","2026-04-15","2026-04-17"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Guarda adjunto de correos con asunto ""plan""","Started","","2026-02-02","2026-07-08"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","PA_Flow_Goldenbelt","Started","","2025-10-05","2025-10-08"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Log Cambios de archivos BI","Started","","2026-02-25","2026-03-11"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","REPORTEDESEGURIDAD","Started","","2025-06-20","2025-06-20"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","ODATA","Started","","2025-07-17","2025-09-04"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","NEW KATTY","Stopped","","2023-02-21","2023-02-21"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Copia de: PLANNER","Stopped","","2024-11-28","2024-11-28"
"Corporacion Peruana de Productos Quimicos S.A. (default)","Default","Alerta de la maestra clientes","Suspended","","2026-01-29","2026-03-02"
