"type","environment","flow","state","ownerId","created","modified"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","1_Backup_Planilla","Stopped","3bf04610-69d1-46c4-a72b-3339c1444c79","2023-09-13","2023-09-20"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","992 pendientes","Stopped","b39580c6-a0f2-4691-b00f-d599dcc1ec97","2024-02-14","2026-03-05"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ACTUALIZAR DASH OTS PILAR MP","Started","dd3d2f48-7492-4618-a5c8-2427ab23657d","2025-01-06","2025-01-08"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ACTUALIZAR OFISMART - BI GASTOS","Stopped","dd3d2f48-7492-4618-a5c8-2427ab23657d","2024-05-09","2024-05-09"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ACTUALIZAR SAP - BI OTS","Started","dd3d2f48-7492-4618-a5c8-2427ab23657d","2024-05-02","2024-07-24"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ACUMULAR FOR","Stopped","e5989de5-b1b7-4d05-acc3-18fd09b67657","2025-10-14","2025-10-21"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ACUOSO","Stopped","c5a9d275-dbe4-4b1d-93a1-f66e20584d8a","2025-06-27","2025-06-27"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ACUOSO","Started","3fc19695-9bdf-4e13-b59f-e9ce55412e25","2026-01-09","2026-05-04"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ADH Y PPH","Started","3fc19695-9bdf-4e13-b59f-e9ce55412e25","2026-01-09","2026-05-04"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ADH y PPH","Stopped","c5a9d275-dbe4-4b1d-93a1-f66e20584d8a","2025-05-08","2025-05-22"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","AMP","Stopped","c5a9d275-dbe4-4b1d-93a1-f66e20584d8a","2025-06-27","2025-06-27"
